Proveedor	NoIdentificador	Clave	Descripcion	U.M	Unidades	Precio Unitario	Descuento	Importe	Folio	Fecha	Orden	Orden de compra
P000001	7506240665939	40051.0	Kilo de alambre recocido calibre 15 en rollo de 60 kg	KG	60.000	24.915000	0.00	1494.90	0089538628	20220205	1	11
P000001	7506240667803	40057.0	Bolsa con 100 pijas N6 x 1  multiusos cuerda cerrada	BOL	30.000	11.455667	0.00	343.67	0089538628	20220205	1	11
P000001	7506240652199	41033.0	Escuadra esquinera, 2-1/2  x 2-1/2 , bolsa con 24 pzas	PZA	12.000	50.538333	0.00	606.46	0089538628	20220205	1	11
P000001	7506240652106	41038.0	Escuadra cantonera, 1-1/2  x 1-1/2 , bolsa con 24 pzas	PZA	6.000	22.236667	0.00	133.42	0089538628	20220205	1	11
P000001	7506240637301	41250.0	Caja con 100 chinches en 10 colores surtidos	CAJ	20.000	10.107500	0.00	202.15	0089538628	20220205	1	11
P000001	7506240624240	42861.0	Malla ganadera de acero galvanizado, 1.40 X 50 m	ROL	1.000	1095.520000	0.00	1095.52	0089538628	20220205	1	11
P000001	7506240624295	42939.0	Rollo malla ciclonica 20 x 1.5 m calibre 11 abertura 63 mm	ROL	1.000	2015.190000	0.00	2015.19	0089538628	20220205	1	11
P000001	7506240624417	42956.0	Rollo malla ciclonica 20 x 2 m calibre 12.5 abertura 63 mm	ROL	1.000	1747.710000	0.00	1747.71	0089538628	20220205	1	11
P000001	7501206693551	44009.0	Mensulas de acero, 8 x 10 , blanco	PZA	24.000	7.412083	0.00	177.89	0089538628	20220205	1	11
P000001	7501206693551	44009.0	Mensulas de acero, 8 x 10 , blanco	PZA	360.000	7.263972	0.00	2615.03	0089538628	20220205	1	11
P000001	7501206694442	44029.0	Bandola de zinc, 7/16 , giratoria	PZA	24.000	8.086250	0.00	194.07	0089538628	20220205	1	11
P000001	7501206694459	44030.0	Bandola de zinc, 1/2 , giratoria	PZA	24.000	11.455000	0.00	274.92	0089538628	20220205	1	11
P000001	7501206694466	44031.0	Bandola de zinc, 5/8 , giratoria	PZA	36.000	12.802778	0.00	460.90	0089538628	20220205	1	11
P000001	7501206694473	44032.0	Bandola de zinc, 7/8 , giratoria	PZA	36.000	16.846111	0.00	606.46	0089538628	20220205	1	11
P000001	7501206694480	44033.0	Bandola de zinc, 1 , giratoria	PZA	24.000	26.279583	0.00	630.71	0089538628	20220205	1	11
P000001	7501206694497	44037.0	Bandola mosqueton, de acero, 3/16	PZA	36.000	6.064444	0.00	218.32	0089538628	20220205	1	11
P000001	7501206694701	44067.0	Tensor forjado,1/2 ,gancho-argolla	PZA	4.000	97.705000	0.00	390.82	0089538628	20220205	1	11
P000001	7501206693865	44082.0	Blister con 2 nudos (perros) de hierro para cable de 1/8	PAR	72.000	4.952778	0.00	356.60	0089538628	20220205	1	11
P000001	7501206693865	44082.0	Blister con 2 nudos (perros) de hierro para cable de 1/8	PAR	12.000	5.054167	0.00	60.65	0089538628	20220205	1	11
P000001	7501206693872	44083.0	Blister con 2 nudos (perros) de hierro para cable de 3/16	PAR	36.000	6.401389	0.00	230.45	0089538628	20220205	1	11
P000001	7501206693896	44085.0	Blister con 2 nudos (perros) de hierro para cable de 5/16	PAR	48.000	10.107500	0.00	485.16	0089538628	20220205	1	11
P000001	7501206695012	44093.0	Gancho  S  para cable de 5/16	PZA	24.000	7.412083	0.00	177.89	0089538628	20220205	1	11
P000001	7501206695029	44097.0	Destorcedor de zinc, para cable de 1/8	PZA	24.000	8.086250	0.00	194.07	0089538628	20220205	1	11
P000001	7501206695036	44098.0	Destorcedor de zinc, para cable de 5/32	PZA	24.000	12.802917	0.00	307.27	0089538628	20220205	1	11
P000001	7501206695043	44099.0	Destorcedor de zinc, para cable de 3/16	PZA	24.000	13.476667	0.00	323.44	0089538628	20220205	1	11
P000001	7501206695050	44100.0	Destorcedor de zinc, para cable de 1/4	PZA	24.000	14.824583	0.00	355.79	0089538628	20220205	1	11
P000001	7501206695067	44101.0	Destorcedor de zinc, para cable de 5/16	PZA	24.000	16.845417	0.00	404.29	0089538628	20220205	1	11
P000001	7501206695142	44115.0	Garrucha para noria de 1 1/2	PZA	24.000	30.322083	0.00	727.73	0089538628	20220205	1	11
P000001	7501206695159	44116.0	Garrucha para noria de 2	PZA	24.000	57.275833	0.00	1374.62	0089538628	20220205	1	11
P000001	7506240606895	44138.0	Bolsa con 1 kg de clavos negros 4  para concreto	KG	10.000	49.830000	0.00	498.30	0089538628	20220205	1	11
P000001	7501206696941	44150.0	Kilo de clavo standard 1-1/4  con cabeza en caja de 25 kg	KG	25.000	37.970800	0.00	949.27	0089538628	20220205	1	11
P000001	7501206696958	44151.0	Kilo de clavo standard 1-1/2  con cabeza en caja de 25 kg	KG	75.000	37.970667	0.00	2847.80	0089538628	20220205	1	11
P000001	7501206696965	44152.0	Kilo de clavo standard 2  con cabeza en caja de 25 kg	KG	100.000	24.797100	0.00	2479.71	0089538628	20220205	1	11
P000001	7501206696972	44153.0	Kilo de clavo standard 2-1/2  con cabeza en caja de 25 kg	KG	225.000	24.797111	0.00	5579.35	0089538628	20220205	1	11
P000001	7501206696989	44154.0	Kilo de clavo standard 3  con cabeza en caja de 25 kg	KG	100.000	24.797100	0.00	2479.71	0089538628	20220205	1	11
P000001	7501206694305	44176.0	Cadena de plastico de 5mm, roja	M	25.000	10.781200	0.00	269.53	0089538628	20220205	1	11
P000001	7501206693810	44190.0	Metro de cadena tipo Victor de 2.0 mm en carrete de 30 m	M	120.000	6.603583	0.00	792.43	0089538628	20220205	1	11
P000001	7501206693827	44191.0	Metro de cadena tipo Victor de 2.3 mm en carrete de 30 m	M	60.000	7.412333	0.00	444.74	0089538628	20220205	1	11
P000001	7501206674246	44199.0	Bolsa con 50 taquetes de 1/4  plasticos	BOL	216.000	7.924259	0.00	1711.64	0089538628	20220205	1	11
P000001	7501206696675	44206.0	Metro de cable rigido 3/16  de acero 7x7 hilos, 75 m	M	225.000	7.075200	0.00	1591.92	0089538628	20220205	1	11
P000001	7506240602019	44208.0	Metro de cable rigido 1/16  de acero 7x7 hilos, 75 m	M	225.000	2.021511	0.00	454.84	0089538628	20220205	1	11
P000001	7506240602026	44209.0	Metro de cable rigido 3/32  de acero 7x7 hilos, 75 m	M	150.000	2.695333	0.00	404.30	0089538628	20220205	1	11
P000001	7501206696699	44211.0	Metro de cable flexible 1/8  de acero 7x19 hilos, 75 m	M	75.000	5.053733	0.00	379.03	0089538628	20220205	1	11
P000001	7501206696712	44213.0	Metro de cable flexible 1/4  de acero 7x19 hilos, 75 m	M	75.000	12.128933	0.00	909.67	0089538628	20220205	1	11
P000001	7506240602064	44214.0	Metro cable flexible 3/32  acero 7x19 recubierto PVC, 300 m	M	75.000	5.390667	0.00	404.30	0089538628	20220205	1	11
P000001	7501206696736	44218.0	Metro de cable rigido 1/4  acero 7x7 recubierto PVC, 75 m	M	75.000	13.476800	0.00	1010.76	0089538628	20220205	1	11
P000001	7506240602033	44220.0	Metro de cable rigido 1/16  acero 7x7 recubierto PVC, 75 m	M	300.000	2.971600	0.00	891.48	0089538628	20220205	1	11
P000001	7501206696774	44225.0	Metro cable flexible 1/8  acero 7x19 recubierto PVC, 75 m	M	75.000	6.064533	0.00	454.84	0089538628	20220205	1	11
P000001	7506240602057	44226.0	Metro cable flexible 3/32  acero 7x19 recubierto PVC, 75 m	M	75.000	6.401467	0.00	480.11	0089538628	20220205	1	11
P000001	7501206693926	44230.0	Bolsa con 10 mini-abrazaderas reforzadas N 4, 3/8 - 5/8	BOL	20.000	23.584000	0.00	471.68	0089538628	20220205	1	11
P000001	7501206693940	44232.0	Bolsa con 10 abrazaderas reforzadas N 4, 3/8 - 5/8	BOL	40.000	38.961000	0.00	1558.44	0089538628	20220205	1	11
P000001	7501206693957	44233.0	Bolsa con 10 abrazaderas reforzadas N 6, 1/2 - 3/4	BOL	80.000	38.961250	0.00	3116.90	0089538628	20220205	1	11
P000001	7501206693964	44234.0	Bolsa con 10 abrazaderas reforzadas N 8, 5/8 - 7/8	BOL	10.000	43.799000	0.00	437.99	0089538628	20220205	1	11
P000001	7501206693964	44234.0	Bolsa con 10 abrazaderas reforzadas N 8, 5/8 - 7/8	BOL	120.000	42.923750	0.00	5150.85	0089538628	20220205	1	11
P000001	7501206693971	44235.0	Bolsa con 10 abrazaderas reforzadas N 10, 3/4 - 1-1/16	BOL	80.000	42.923375	0.00	3433.87	0089538628	20220205	1	11
P000001	7501206693988	44236.0	Bolsa con 10 abrazaderas reforzadas N 12, 5/8 - 1-1/4	BOL	10.000	43.799000	0.00	437.99	0089538628	20220205	1	11
P000001	7501206693988	44236.0	Bolsa con 10 abrazaderas reforzadas N 12, 5/8 - 1-1/4	BOL	20.000	42.923500	0.00	858.47	0089538628	20220205	1	11
P000001	7501206693995	44237.0	Bolsa con 10 abrazaderas reforzadas N 16, 3/4 - 1-1/2	BOL	20.000	49.526500	0.00	990.53	0089538628	20220205	1	11
P000001	7501206694015	44239.0	Bolsa con 10 abrazaderas reforzadas N 24, 1-1/4 - 2	BOL	15.000	57.275333	0.00	859.13	0089538628	20220205	1	11
P000001	7501206694084	44246.0	Bolsa con 5 abrazaderas reforzadas N 52, 3-13/16 - 3-3/4	BOL	4.000	43.797500	0.00	175.19	0089538628	20220205	1	11
P000001	7501206694114	44249.0	Bolsa con 5 abrazaderas reforzadas N 64, 3-9/16 - 3-1/2	BOL	4.000	50.537500	0.00	202.15	0089538628	20220205	1	11
P000001	7501206694152	44253.0	Bolsa con 5 abrazaderas reforzadas N 96, 5-9/16 - 6-1/2	BOL	2.000	64.010000	0.00	128.02	0089538628	20220205	1	11
P000001	7506240645467	44256.0	Bolsa con 10 mini-abrazaderas reforzadas N7, 1/2 - 7/8	BOL	20.000	23.584000	0.00	471.68	0089538628	20220205	1	11
P000001	7506240645474	44257.0	Bolsa con 10 abrazaderas reforzadas N7, 9/16 - 1-1/16	BOL	20.000	42.923500	0.00	858.47	0089538628	20220205	1	11
P000001	7501206694879	44260.0	Metro de cadena pulida de 1/8 , 75 m en cubeta	M	75.000	14.656000	0.00	1099.20	0089538628	20220205	1	11
P000001	7501206694893	44262.0	Metro de cadena pulida de 1/4 , 35 m en cubeta	M	105.000	35.906952	0.00	3770.23	0089538628	20220205	1	11
P000001	7501206694909	44263.0	Metro de cadena pulida de 5/16 , 20 m en cubeta	M	20.000	57.891000	0.00	1157.82	0089538628	20220205	1	11
P000001	7501206694930	44269.0	Metro de cadena galvanizada de 1/8 , 75 m en cubeta	M	150.000	16.854267	0.00	2528.14	0089538628	20220205	1	11
P000001	7501206694954	44271.0	Metro de cadena galvanizada de 1/4 , 35 m en cubeta	M	70.000	40.303714	0.00	2821.26	0089538628	20220205	1	11
P000001	7501206694961	44272.0	Metro de cadena galvanizada de 5/16 , 20 m en cubeta	M	40.000	65.951500	0.00	2638.06	0089538628	20220205	1	11
P000001	7501206694978	44273.0	Metro de cadena galvanizada de 3/8 , 10 m en cubeta	M	20.000	92.332000	0.00	1846.64	0089538628	20220205	1	11
P000001	7501206699447	44281.0	Correa de 1.2 m de paseo para perro, eslabon 2.5 mm	PZA	36.000	12.802778	0.00	460.90	0089538628	20220205	1	11
P000001	7501206699454	44282.0	Cadena de paseo para perro N 3	PZA	36.000	16.846111	0.00	606.46	0089538628	20220205	1	11
P000001	7501206699461	44283.0	Cadena de paseo para perro N 3.5	PZA	24.000	20.215000	0.00	485.16	0089538628	20220205	1	11
P000001	7501206699478	44284.0	Cadena de paseo para perro N 4	PZA	36.000	22.236389	0.00	800.51	0089538628	20220205	1	11
P000001	7501206699492	44291.0	Collar de 50 cm de entrenamiento para perro, eslabon de 3 mm	PZA	24.000	10.107083	0.00	242.57	0089538628	20220205	1	11
P000001	7501206699508	44292.0	Collar de 55 cm de entrenamiento para perro, eslabon 3.5 mm	PZA	36.000	12.129167	0.00	436.65	0089538628	20220205	1	11
P000001	7501206685112	44335.0	Bolsa con 100 pijas N6 x 1/2  multiusos	CAJ	42.000	8.085952	0.00	339.61	0089538628	20220205	1	11
P000001	7501206685136	44337.0	Bolsa con 100 pijas N6 x 1  multiusos	CAJ	54.000	11.455185	0.00	618.58	0089538628	20220205	1	11
P000001	7501206685143	44338.0	Bolsa con 100 pijas N6 x 1-1/4  multiusos	CAJ	30.000	12.802667	0.00	384.08	0089538628	20220205	1	11
P000001	7501206685655	44348.0	Bolsa con 100 pijas N10 x 1  multiusos	CAJ	30.000	16.846000	0.00	505.38	0089538628	20220205	1	11
P000001	7501206685662	44349.0	Bolsa con 100 pijas N10 x 1-1/2  multiusos	CAJ	24.000	22.236667	0.00	533.68	0089538628	20220205	1	11
P000001	7501206685679	44350.0	Bolsa con 100 pijas N10 x 2  multiusos	CAJ	36.000	28.395278	0.00	1022.23	0089538628	20220205	1	11
P000001	7501206685952	44362.0	Bolsa con 4 taquetes expansivos de 1/4  sin tornillo	JGO	48.000	21.562708	0.00	1035.01	0089538628	20220205	1	11
P000001	7501206686041	44370.0	Bolsa con 144 armellas cerradas de 17 x 40	CAJ	6.000	28.975000	0.00	173.85	0089538628	20220205	1	11
P000001	7501206686232	44381.0	Bolsa con 144 armellas abiertas de 21 x 80	CAJ	6.000	70.751667	0.00	424.51	0089538628	20220205	1	11
P000001	7501206686249	44382.0	Bolsa con 72 armellas abiertas de 22 x 100	CAJ	12.000	57.451667	0.00	689.42	0089538628	20220205	1	11
P000001	7501206685990	44390.0	Rodaja esferica, 40 mm con placa	PZA	24.000	14.527917	0.00	348.67	0089538628	20220205	1	11
P000001	7501206685990	44390.0	Rodaja esferica, 40 mm con placa	PZA	6.000	14.823333	0.00	88.94	0089538628	20220205	1	11
P000001	7501206686003	44391.0	Rodaja esferica, 50 mm con placa	PZA	24.000	17.169167	0.00	412.06	0089538628	20220205	1	11
P000001	7501206686003	44391.0	Rodaja esferica, 50 mm con placa	PZA	12.000	17.520833	0.00	210.25	0089538628	20220205	1	11
P000001	7501206686355	44403.0	Bolsa con 50 pijas 1-1/2  cabeza hexagonal, punta de broca	CAJ	12.000	30.323333	0.00	363.88	0089538628	20220205	1	11
P000001	7501206686379	44405.0	Bolsa con 100 pijas 3/4  hexagonal, punta broca con rondana	CAJ	18.000	49.190556	0.00	885.43	0089538628	20220205	1	11
P000001	7501206686980	44424.0	Bolsa con 150 pijas N10 x 1-1/4  para lamina	CAJ	12.000	37.061667	0.00	444.74	0089538628	20220205	1	11
P000001	7501206689530	44451.0	Mensulas de acero, 5  x 6 , negras	PZA	48.000	4.043125	0.00	194.07	0089538628	20220205	1	11
P000001	7501206689547	44452.0	Mensulas de acero, 6 x 8 , negras	PZA	96.000	5.390729	0.00	517.51	0089538628	20220205	1	11
P000001	7501206689578	44455.0	Mensulas de acero, 12 x 14 , negras	PZA	24.000	12.802917	0.00	307.27	0089538628	20220205	1	11
P000001	7506240638438	44458.0	Kilo de alambre recocido calibre 15 en rollo de 1Kg	KG	70.000	24.915000	0.00	1744.05	0089538628	20220205	1	11
P000001	7506240601906	44467.0	Kilo de alambre galvanizado, calibre 16	KG	20.000	44.524500	0.00	890.49	0089538628	20220205	1	11
P000001	7506240619963	44472.0	Kilo de cuerda amarilla de polipropileno 4 mm, rollo 20 kg	KG	20.000	72.546500	0.00	1450.93	0089538628	20220205	1	11
P000001	7506240608035	44487.0	Kilo de cuerda amarilla de polipropileno 10 mm, rollo 20 kg	KG	20.000	72.546500	0.00	1450.93	0089538628	20220205	1	11
P000001	7506240608080	44492.0	Rollo de rafia de 410 m color blanco calibre 2.2 g/m	ROL	36.000	75.404444	0.00	2714.56	0089538628	20220205	1	11
P000001	7506240613367	44514.0	10 kg de grapas de 1-1/4  galvanizadas para alambre de puas	CAJ	2.000	351.010000	0.00	702.02	0089538628	20220205	1	11
P000001	7501206699638	44518.0	Bolsa con 50 remaches 1/8  x 1/8  de aluminio, ala 1/4	BOL	50.000	6.738400	0.00	336.92	0089538628	20220205	1	11
P000001	7501206699645	44519.0	Bolsa con 50 remaches 1/8  x 3/16  de aluminio, ala 1/4	BOL	10.000	6.739000	0.00	67.39	0089538628	20220205	1	11
P000001	7501206699713	44526.0	Bolsa con 50 remaches 5/32  x 3/8  de aluminio, ala 5/16	BOL	10.000	9.434000	0.00	94.34	0089538628	20220205	1	11
P000001	7501206699720	44527.0	Bolsa con 50 remaches 5/32  x 1/2  de aluminio, ala 5/16	BOL	50.000	10.107600	0.00	505.38	0089538628	20220205	1	11
P000001	7501206699737	44528.0	Bolsa con 50 remaches 3/16  x 1/8  de aluminio, ala 3/8	BOL	30.000	11.455667	0.00	343.67	0089538628	20220205	1	11
P000001	7501206699744	44529.0	Bolsa con 50 remaches 3/16  x 1/4  de aluminio, ala 3/8	BOL	10.000	12.802000	0.00	128.02	0089538628	20220205	1	11
P000001	7501206699768	44531.0	Bolsa con 50 remaches 3/16  x 1/2  de aluminio, ala 3/8	BOL	10.000	15.498000	0.00	154.98	0089538628	20220205	1	11
P000001	7501206699775	44532.0	Bolsa con 50 remaches de 1/4  x 1/4  de aluminio, ala 1/2	BOL	7.000	24.931429	0.00	174.52	0089538628	20220205	1	11
P000001	7501206699782	44533.0	Bolsa con 50 remaches de 1/4  x 3/8  de aluminio, ala 1/2	BOL	14.000	26.953571	0.00	377.35	0089538628	20220205	1	11
P000001	7501206699799	44534.0	Bolsa con 50 remaches de 1/4  x 1/2  de aluminio, ala 1/2	BOL	7.000	28.974286	0.00	202.82	0089538628	20220205	1	11
P000001	7501206699805	44535.0	Bolsa con 50 remaches 3/16  x 5/8  de aluminio, ala 3/8	BOL	28.000	16.845714	0.00	471.68	0089538628	20220205	1	11
P000001	7501206699812	44536.0	Bolsa con 50 remaches 3/16  x 3/4  de aluminio, ala 3/8	BOL	7.000	18.192857	0.00	127.35	0089538628	20220205	1	11
P000001	7501206699829	44537.0	Bolsa con 50 remaches 3/16  x 3/8  de aluminio, ala 17/32	BOL	7.000	16.847143	0.00	117.93	0089538628	20220205	1	11
P000001	7506240601791	44540.0	Bolsa con 1 kg de arandelas planas de 1/8	CAJ	6.000	50.536667	0.00	303.22	0089538628	20220205	1	11
P000001	7506240600992	44552.0	Bolsa con 50 tuercas 1/2  hexagonales de acero galvanizado	CAJ	12.000	43.799167	0.00	525.59	0089538628	20220205	1	11
P000001	7506240601005	44553.0	Bolsa con 1000 tuercas 1/8  hexagonales tipo Sakamura	CAJ	6.000	70.751667	0.00	424.51	0089538628	20220205	1	11
P000001	7506240601371	44557.0	Bolsa con 100 tornillos 1/4  x 3/4  tipo maquina	CAJ	12.000	40.430000	0.00	485.16	0089538628	20220205	1	11
P000001	7506240601494	44569.0	Bolsa con 80 tornillos 5/16  x 2  tipo maquina	CAJ	6.000	92.988333	0.00	557.93	0089538628	20220205	1	11
P000001	7506240601500	44570.0	Bolsa con 60 tornillos 5/16  x 2-1/2  tipo maquina	CAJ	3.000	82.210000	0.00	246.63	0089538628	20220205	1	11
P000001	7506240601517	44571.0	Bolsa con 60 tornillos 5/16  x 3  tipo maquina	CAJ	6.000	100.401667	0.00	602.41	0089538628	20220205	1	11
P000001	7506240601593	44579.0	Bolsa con 50 tornillos 3/8  x 2-1/2  tipo maquina	CAJ	3.000	97.706667	0.00	293.12	0089538628	20220205	1	11
P000001	7506240601623	44582.0	Bolsa con 30 tornillos 3/8  x 4  tipo maquina	CAJ	3.000	92.990000	0.00	278.97	0089538628	20220205	1	11
P000001	7506240601715	44591.0	Bolsa con 40 tornillos 1/2  x 1  tipo maquina	CAJ	3.000	88.946667	0.00	266.84	0089538628	20220205	1	11
P000001	7506240601722	44592.0	Bolsa con 40 tornillos 1/2  x 1-1/4  tipo maquina	CAJ	3.000	100.396667	0.00	301.19	0089538628	20220205	1	11
P000001	7506240601739	44593.0	Bolsa con 30 tornillos 1/2  x 1-1/2  tipo maquina	CAJ	3.000	82.880000	0.00	248.64	0089538628	20220205	1	11
P000001	7506240601760	44596.0	Tornillo tipo maquina, 1/2 x 3 , bolsa con 20 pzas	CAJ	3.000	88.946667	0.00	266.84	0089538628	20220205	1	11
P000001	7506240601784	44598.0	Tornillo tipo maquina, 1/2 x 4 , bolsa con 15 pzas	CAJ	3.000	88.946667	0.00	266.84	0089538628	20220205	1	11
P000001	7506240601210	44617.0	Bolsa con 200 tornillos 3/16  x 1  tipo estufa	CAJ	6.000	46.495000	0.00	278.97	0089538628	20220205	1	11
P000001	7506240640745	44640.0	Bolsa con 25 tornillos 1/4  x 5  tipo maquina	CAJ	3.000	38.406667	0.00	115.22	0089538628	20220205	1	11
P000001	7506240640752	44641.0	Bolsa con 20 tornillos 1/4  x 6  tipo maquina	CAJ	3.000	39.083333	0.00	117.25	0089538628	20220205	1	11
P000001	7506240640776	44643.0	Bolsa con 30 tornillos 5/16  x 5  tipo maquina	CAJ	3.000	79.513333	0.00	238.54	0089538628	20220205	1	11
P000001	7506240640783	44644.0	Bolsa con 30 tornillos 5/16  x 6  tipo maquina	CAJ	3.000	80.856667	0.00	242.57	0089538628	20220205	1	11
P000001	7506240603894	44649.0	Bolsa con 100 pijas cabeza cruz, punta de broca 1-1/2	CAJ	24.000	26.279583	0.00	630.71	0089538628	20220205	1	11
P000001	7506240606079	44655.0	Rollo malla hexagonal 45 x 0.9 m calibre 23 abertura 13 mm	ROL	5.000	1146.832000	0.00	5734.16	0089538628	20220205	1	11
P000001	7506240608738	44670.0	Mensula reforzada, 8 x 12 , blanca	PZA	10.000	33.018000	0.00	330.18	0089538628	20220205	1	11
P000001	7506240608745	44671.0	Mensula reforzada, 10 x 16 , blanca	PZA	20.000	43.799000	0.00	875.98	0089538628	20220205	1	11
P000001	7506240611011	44683.0	Bolsa con 300 arandelas de presion de 1/8	BOL	12.000	8.759167	0.00	105.11	0089538628	20220205	1	11
P000001	7506240611059	44687.0	Bolsa con 150 arandelas de presion de 5/16	BOL	12.000	21.561667	0.00	258.74	0089538628	20220205	1	11
P000001	7506240613848	44696.0	Bolsa con 150 tuercas 5/16  hexagonales pavonadas, grado 5	CAJ	6.000	39.756667	0.00	238.54	0089538628	20220205	1	11
P000001	7506240612094	44712.0	Tornillo tipo coche, 1/4 x 1 , bolsa con 100 piezas	CAJ	6.000	50.536667	0.00	303.22	0089538628	20220205	1	11
P000001	7506240612209	44723.0	Bolsa con 80 tornillos 5/16  x 2  tipo coche	CAJ	6.000	97.706667	0.00	586.24	0089538628	20220205	1	11
P000001	7506240612230	44726.0	Bolsa con 50 tornillos 5/16  x 3-1/2  tipo coche	CAJ	3.000	93.660000	0.00	280.98	0089538628	20220205	1	11
P000001	7506240612292	44732.0	Bolsa con 60 tornillos 3/8  x 2  tipo coche	CAJ	3.000	111.183333	0.00	333.55	0089538628	20220205	1	11
P000001	7506240613022	44785.0	Bolsa con 60 tornillos 3/8  x 2  de acero, grado 5	CAJ	3.000	117.923333	0.00	353.77	0089538628	20220205	1	11
P000001	7506240613268	44786.0	Bolsa con 50 tornillos 3/8  x 2-1/2  de acero, grado 5	CAJ	3.000	120.613333	0.00	361.84	0089538628	20220205	1	11
P000001	7506240613282	44788.0	Bolsa con 30 tornillos 3/8  x 3-1/2  de acero, grado 5	CAJ	3.000	97.706667	0.00	293.12	0089538628	20220205	1	11
P000001	7506240613114	44797.0	Bolsa con 20 tornillos 7/16  x 4  de acero, grado 5	CAJ	3.000	100.396667	0.00	301.19	0089538628	20220205	1	11
P000001	7506240613176	44803.0	Bolsa con 20 tornillos 1/2  x 3  de acero, grado 5	CAJ	3.000	104.446667	0.00	313.34	0089538628	20220205	1	11
P000001	7506240613190	44805.0	Bolsa con 15 tornillos 1/2  x 4  de acero, grado 5	CAJ	3.000	101.073333	0.00	303.22	0089538628	20220205	1	11
P000001	7506240611738	44813.0	Clavo 1 , con cabeza, bolsa de 1 kg	KG	30.000	38.745333	0.00	1162.36	0089538628	20220205	1	11
P000001	7506240611752	44815.0	Clavo 1-1/2 , con cabeza, bolsa de 1 kg	KG	30.000	38.745333	0.00	1162.36	0089538628	20220205	1	11
P000001	7506240613794	44847.0	Kilo de clavo para concreto 2-1/2  negro, caja de 25 kg	KG	100.000	48.364500	0.00	4836.45	0089538628	20220205	1	11
P000001	7506240637295	44884.0	Rollo de alambre de puas de 100 m calibre 15.5	ROL	6.000	216.175000	0.00	1297.05	0089538628	20220205	1	11
P000001	7506240626114	44886.0	Rollo de alambre de puas de 350 m calibre 12.5	ROL	1.000	989.270000	0.00	989.27	0089538628	20220205	1	11
P000001	7506240637431	44892.0	Bolsa con 200 pijas N8 x 1-1/4  tipo Quadrex	CAJ	6.000	30.323333	0.00	181.94	0089538628	20220205	1	11
P000001	7506240637479	44896.0	Bolsa con 200 pijas N8 x 2-1/2  tipo Quadrex	CAJ	6.000	53.233333	0.00	319.40	0089538628	20220205	1	11
P000001	7506240619130	44910.0	Bolsa con 100 colas de pato N1, 2.5 cm altura, 6.3 mm ojillo	BOL	5.000	30.996000	0.00	154.98	0089538628	20220205	1	11
P000001	7506240624493	44920.0	Rollo de pua concertina alta seguridad, 45 cm diametro	ROL	5.000	274.798000	0.00	1373.99	0089538628	20220205	1	11
